INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 1440921807
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x170060000, 0x170060200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x106540000,0x106542000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 253Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 296Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 296Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 3 rss: 314Mb
#32	pulse  corp: 1/1b lim: 4 exec/s: 3 rss: 314Mb
#54	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 3 rss: 314Mb L: 1/1 MS: 2 CrossOver-ChangeByte-
#64	pulse  cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 3 rss: 314Mb
#70	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 3 rss: 314Mb L: 2/2 MS: 1 InsertByte-
#96	NEW    cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 3 rss: 314Mb L: 3/3 MS: 1 CrossOver-
#128	pulse  cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 3 rss: 314Mb
#153	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 3 rss: 314Mb L: 4/4 MS: 2 CopyPart-CrossOver-
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 3 rss: 314Mb
#512	pulse  cov: 11 ft: 44 corp: 5/11b lim: 6 exec/s: 3 rss: 320Mb
#576	NEW    cov: 11 ft: 55 corp: 6/19b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 3 CopyPart-CrossOver-CrossOver-
#689	NEW    cov: 18 ft: 62 corp: 7/26b lim: 8 exec/s: 3 rss: 320Mb L: 7/8 MS: 3 CopyPart-ShuffleBytes-InsertRepeatedBytes-
#704	NEW    cov: 18 ft: 69 corp: 8/32b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 5 EraseBytes-CopyPart-CopyPart-ShuffleBytes-InsertRepeatedBytes-
#718	NEW    cov: 21 ft: 72 corp: 9/40b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 4 CrossOver-ChangeByte-ChangeByte-InsertRepeatedBytes-
#728	REDUCE cov: 21 ft: 72 corp: 9/38b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 5 EraseBytes-ShuffleBytes-ChangeBinInt-ShuffleBytes-EraseBytes-
#762	NEW    cov: 30 ft: 81 corp: 10/44b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 4 ChangeByte-CopyPart-CMP-ChangeByte- DE: "\000\000\000\000"-
#882	NEW    cov: 30 ft: 90 corp: 11/50b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 5 CMP-ChangeBit-EraseBytes-InsertByte-ChangeBinInt- DE: "\001\000\000\000"-
#888	NEW    cov: 30 ft: 99 corp: 12/58b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 ChangeBinInt-
#916	NEW    cov: 30 ft: 102 corp: 13/64b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 3 EraseBytes-ShuffleBytes-ChangeByte-
#938	NEW    cov: 35 ft: 107 corp: 14/70b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 2 ChangeBit-ChangeByte-
#995	NEW    cov: 35 ft: 110 corp: 15/78b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 2 CopyPart-CrossOver-
#1021	NEW    cov: 35 ft: 117 corp: 16/86b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 ChangeBit-
#1024	pulse  cov: 35 ft: 117 corp: 16/86b lim: 8 exec/s: 3 rss: 320Mb
#1095	NEW    cov: 36 ft: 118 corp: 17/93b lim: 8 exec/s: 3 rss: 320Mb L: 7/8 MS: 4 ShuffleBytes-ChangeBit-ShuffleBytes-ChangeByte-
#1096	NEW    cov: 36 ft: 119 corp: 18/101b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 InsertByte-
#1192	NEW    cov: 36 ft: 122 corp: 19/108b lim: 8 exec/s: 3 rss: 320Mb L: 7/8 MS: 1 EraseBytes-
#1208	NEW    cov: 36 ft: 127 corp: 20/114b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 1 ChangeBit-
#1237	NEW    cov: 36 ft: 132 corp: 21/121b lim: 8 exec/s: 3 rss: 320Mb L: 7/8 MS: 4 ChangeByte-ChangeBinInt-InsertByte-ChangeBit-
#1263	REDUCE cov: 36 ft: 132 corp: 21/119b lim: 8 exec/s: 3 rss: 320Mb L: 6/8 MS: 1 EraseBytes-
#1379	NEW    cov: 36 ft: 141 corp: 22/127b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 CopyPart-
#1412	NEW    cov: 36 ft: 148 corp: 23/134b lim: 8 exec/s: 3 rss: 320Mb L: 7/8 MS: 3 CopyPart-ChangeASCIIInt-InsertByte-
#1558	NEW    cov: 36 ft: 153 corp: 24/142b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 ChangeBinInt-
#1731	NEW    cov: 36 ft: 154 corp: 25/150b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 3 ChangeBit-ChangeByte-ShuffleBytes-
#1892	REDUCE cov: 36 ft: 154 corp: 25/149b lim: 8 exec/s: 3 rss: 320Mb L: 5/8 MS: 1 EraseBytes-
#2048	pulse  cov: 36 ft: 154 corp: 25/149b lim: 8 exec/s: 3 rss: 320Mb
#2188	REDUCE cov: 36 ft: 155 corp: 26/157b lim: 8 exec/s: 3 rss: 320Mb L: 8/8 MS: 1 CrossOver-
#2613	NEW    cov: 39 ft: 158 corp: 27/167b lim: 11 exec/s: 3 rss: 328Mb L: 10/10 MS: 5 InsertRepeatedBytes-ShuffleBytes-ChangeByte-ChangeBinInt-CrossOver-
#2655	REDUCE cov: 39 ft: 158 corp: 27/165b lim: 11 exec/s: 3 rss: 328Mb L: 5/10 MS: 2 ShuffleBytes-EraseBytes-
#2818	NEW    cov: 40 ft: 159 corp: 28/175b lim: 11 exec/s: 3 rss: 328Mb L: 10/10 MS: 3 ShuffleBytes-EraseBytes-InsertRepeatedBytes-
#2821	NEW    cov: 41 ft: 160 corp: 29/185b lim: 11 exec/s: 3 rss: 328Mb L: 10/10 MS: 3 ChangeBinInt-ChangeByte-ShuffleBytes-
#2862	NEW    cov: 41 ft: 163 corp: 30/196b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 1 CrossOver-
#2887	NEW    cov: 41 ft: 164 corp: 31/207b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 5 ChangeByte-ChangeByte-InsertRepeatedBytes-CopyPart-ChangeByte-
#3024	NEW    cov: 46 ft: 169 corp: 32/216b lim: 11 exec/s: 3 rss: 328Mb L: 9/11 MS: 2 ShuffleBytes-CrossOver-
#3086	NEW    cov: 49 ft: 172 corp: 33/226b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 2 ChangeBinInt-ChangeByte-
#3143	REDUCE cov: 49 ft: 172 corp: 33/225b lim: 11 exec/s: 3 rss: 328Mb L: 9/11 MS: 2 EraseBytes-InsertByte-
#3152	NEW    cov: 54 ft: 177 corp: 34/236b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 4 ChangeBit-ChangeBit-ChangeByte-InsertRepeatedBytes-
#3221	NEW    cov: 55 ft: 178 corp: 35/246b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 4 InsertByte-InsertByte-ShuffleBytes-CrossOver-
#3222	NEW    cov: 55 ft: 181 corp: 36/257b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 1 ChangeByte-
#3237	REDUCE cov: 55 ft: 182 corp: 37/268b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 5 ShuffleBytes-InsertRepeatedBytes-InsertByte-CopyPart-CopyPart-
#3276	NEW    cov: 58 ft: 185 corp: 38/279b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 4 CMP-ChangeByte-ChangeBinInt-ChangeByte- DE: "\000\000\000\000\000\000\000\000"-
#3373	NEW    cov: 65 ft: 192 corp: 39/290b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 2 InsertByte-ChangeByte-
#3435	NEW    cov: 66 ft: 193 corp: 40/300b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 2 EraseBytes-CrossOver-
#3492	NEW    cov: 66 ft: 194 corp: 41/311b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 2 CopyPart-InsertByte-
#3594	REDUCE cov: 66 ft: 194 corp: 41/310b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 2 EraseBytes-CopyPart-
#3617	NEW    cov: 66 ft: 199 corp: 42/320b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 3 ChangeBinInt-CrossOver-ChangeBit-
#3696	REDUCE cov: 66 ft: 202 corp: 43/331b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 4 InsertByte-ChangeBit-InsertByte-ShuffleBytes-
#3785	NEW    cov: 66 ft: 203 corp: 44/342b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 4 CopyPart-ChangeBinInt-CrossOver-ChangeASCIIInt-
#3836	NEW    cov: 66 ft: 204 corp: 45/353b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 1 ChangeBit-
#4084	NEW    cov: 66 ft: 205 corp: 46/364b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 3 CrossOver-CrossOver-ChangeASCIIInt-
#4096	pulse  cov: 66 ft: 205 corp: 46/364b lim: 11 exec/s: 3 rss: 328Mb
#4313	REDUCE cov: 66 ft: 205 corp: 46/363b lim: 11 exec/s: 3 rss: 328Mb L: 10/11 MS: 4 ShuffleBytes-EraseBytes-ChangeBit-InsertByte-
#4314	REDUCE cov: 66 ft: 208 corp: 47/374b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 1 CopyPart-
#4470	NEW    cov: 66 ft: 209 corp: 48/385b lim: 11 exec/s: 3 rss: 328Mb L: 11/11 MS: 1 ChangeByte-
#4779	NEW    cov: 66 ft: 212 corp: 49/399b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 4 InsertByte-ShuffleBytes-InsertByte-InsertByte-
#4932	NEW    cov: 69 ft: 215 corp: 50/413b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 3 CrossOver-ChangeBinInt-CopyPart-
#5175	NEW    cov: 69 ft: 218 corp: 51/427b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 3 ShuffleBytes-EraseBytes-CrossOver-
#5281	NEW    cov: 69 ft: 223 corp: 52/440b lim: 14 exec/s: 3 rss: 328Mb L: 13/14 MS: 1 EraseBytes-
#5282	NEW    cov: 69 ft: 230 corp: 53/454b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 InsertRepeatedBytes-
#5335	NEW    cov: 69 ft: 233 corp: 54/466b lim: 14 exec/s: 3 rss: 328Mb L: 12/14 MS: 3 ShuffleBytes-CrossOver-ChangeBinInt-
#5356	NEW    cov: 69 ft: 236 corp: 55/480b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 CopyPart-
#5398	NEW    cov: 70 ft: 237 corp: 56/494b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 2 CopyPart-InsertRepeatedBytes-
#5469	REDUCE cov: 71 ft: 238 corp: 57/508b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 CrossOver-
#5538	NEW    cov: 71 ft: 245 corp: 58/519b lim: 14 exec/s: 3 rss: 328Mb L: 11/14 MS: 4 ChangeByte-CrossOver-EraseBytes-ChangeBit-
#5669	NEW    cov: 71 ft: 250 corp: 59/533b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 InsertRepeatedBytes-
#5820	NEW    cov: 71 ft: 253 corp: 60/547b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 CrossOver-
#5882	NEW    cov: 74 ft: 256 corp: 61/561b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 2 CopyPart-ChangeByte-
#5893	NEW    cov: 77 ft: 259 corp: 62/575b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 1 CrossOver-
#5935	NEW    cov: 77 ft: 260 corp: 63/589b lim: 14 exec/s: 3 rss: 328Mb L: 14/14 MS: 2 ShuffleBytes-CrossOver-
