INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 526472334
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x118148000, 0x118148200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x10e800000,0x10e802000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 215Mb
#2	INITED exec/s: 1 rss: 215Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 225Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#32	pulse  corp: 1/1b lim: 4 exec/s: 1 rss: 274Mb
#2077	NEW    cov: 53 ft: 172 corp: 31/201b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 1 PersAutoDict- DE: "\377\377"-
#2211	NEW    cov: 53 ft: 173 corp: 32/210b lim: 11 exec/s: 2 rss: 343Mb L: 9/11 MS: 4 CrossOver-ShuffleBytes-ShuffleBytes-PersAutoDict- DE: "\377\377"-
#2257	NEW    cov: 53 ft: 180 corp: 33/220b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 1 InsertRepeatedBytes-
#2288	NEW    cov: 53 ft: 183 corp: 34/230b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 1 CMP- DE: "\377\377"-
#2356	NEW    cov: 54 ft: 184 corp: 35/240b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 3 ChangeBit-ChangeBinInt-PersAutoDict- DE: "\377\377"-
#2393	NEW    cov: 54 ft: 185 corp: 36/250b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 2 ChangeByte-ChangeBinInt-
#2524	NEW    cov: 54 ft: 188 corp: 37/260b lim: 11 exec/s: 2 rss: 343Mb L: 10/11 MS: 1 ChangeBit-
#2598	NEW    cov: 54 ft: 191 corp: 38/271b lim: 11 exec/s: 2 rss: 352Mb L: 11/11 MS: 4 PersAutoDict-CopyPart-InsertRepeatedBytes-InsertByte- DE: "\377\377"-
#2638	NEW    cov: 59 ft: 196 corp: 39/282b lim: 11 exec/s: 2 rss: 352Mb L: 11/11 MS: 5 CopyPart-EraseBytes-CopyPart-InsertRepeatedBytes-CrossOver-
#2681	NEW    cov: 59 ft: 199 corp: 40/293b lim: 11 exec/s: 2 rss: 352Mb L: 11/11 MS: 3 ChangeBit-CopyPart-ChangeByte-
#2683	NEW    cov: 59 ft: 202 corp: 41/304b lim: 11 exec/s: 2 rss: 352Mb L: 11/11 MS: 2 CopyPart-InsertByte-
#2720	NEW    cov: 59 ft: 203 corp: 42/315b lim: 11 exec/s: 2 rss: 352Mb L: 11/11 MS: 2 EraseBytes-PersAutoDict- DE: "\377\377"-
#2943	NEW    cov: 60 ft: 204 corp: 43/326b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 3 ChangeBinInt-CopyPart-ChangeBinInt-
#3154	NEW    cov: 60 ft: 209 corp: 44/335b lim: 11 exec/s: 2 rss: 355Mb L: 9/11 MS: 1 EraseBytes-
#3175	NEW    cov: 60 ft: 214 corp: 45/346b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 1 ChangeBinInt-
#3254	NEW    cov: 65 ft: 219 corp: 46/356b lim: 11 exec/s: 2 rss: 355Mb L: 10/11 MS: 4 CMP-ChangeByte-ShuffleBytes-ChangeBit- DE: "\000\000"-
#3265	NEW    cov: 65 ft: 226 corp: 47/367b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 1 CopyPart-
#3423	NEW    cov: 66 ft: 227 corp: 48/378b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 3 ChangeBit-PersAutoDict-CrossOver- DE: "\000\000"-
#3491	NEW    cov: 66 ft: 228 corp: 49/389b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 3 CopyPart-ChangeByte-ChangeBit-
#3544	NEW    cov: 66 ft: 229 corp: 50/400b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 3 ChangeByte-CopyPart-CrossOver-
#3731	NEW    cov: 66 ft: 234 corp: 51/411b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 2 CrossOver-ChangeByte-
#3943	REDUCE cov: 66 ft: 234 corp: 51/410b lim: 11 exec/s: 2 rss: 355Mb L: 10/11 MS: 2 EraseBytes-CopyPart-
#4071	NEW    cov: 66 ft: 237 corp: 52/421b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 3 ChangeBit-ChangeBinInt-CrossOver-
#4093	NEW    cov: 66 ft: 242 corp: 53/432b lim: 11 exec/s: 2 rss: 355Mb L: 11/11 MS: 2 CopyPart-InsertByte-
#4096	pulse  cov: 66 ft: 242 corp: 53/432b lim: 11 exec/s: 2 rss: 355Mb
#4317	REDUCE cov: 66 ft: 243 corp: 54/443b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 4 ShuffleBytes-InsertByte-ShuffleBytes-ChangeBinInt-
#4688	NEW    cov: 66 ft: 244 corp: 55/455b lim: 14 exec/s: 2 rss: 357Mb L: 12/12 MS: 1 InsertByte-
#4715	REDUCE cov: 66 ft: 249 corp: 56/468b lim: 14 exec/s: 2 rss: 357Mb L: 13/13 MS: 2 CrossOver-InsertByte-
#4718	NEW    cov: 66 ft: 252 corp: 57/480b lim: 14 exec/s: 2 rss: 357Mb L: 12/13 MS: 3 CrossOver-CopyPart-InsertByte-
#4768	NEW    cov: 69 ft: 255 corp: 58/493b lim: 14 exec/s: 2 rss: 357Mb L: 13/13 MS: 5 ChangeByte-CMP-ChangeByte-InsertRepeatedBytes-ShuffleBytes- DE: "\377\377\377\377"-
#4874	NEW    cov: 69 ft: 256 corp: 59/504b lim: 14 exec/s: 2 rss: 357Mb L: 11/13 MS: 1 ChangeBit-
#4890	NEW    cov: 70 ft: 257 corp: 60/517b lim: 14 exec/s: 2 rss: 357Mb L: 13/13 MS: 1 InsertRepeatedBytes-
#4983	NEW    cov: 70 ft: 260 corp: 61/530b lim: 14 exec/s: 2 rss: 357Mb L: 13/13 MS: 3 InsertByte-ChangeBit-CrossOver-
#5017	REDUCE cov: 70 ft: 261 corp: 62/542b lim: 14 exec/s: 2 rss: 357Mb L: 12/13 MS: 4 ChangeByte-ShuffleBytes-PersAutoDict-CrossOver- DE: "\377\377"-
#5030	NEW    cov: 73 ft: 264 corp: 63/556b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 3 CopyPart-ChangeBit-CopyPart-
#5108	NEW    cov: 74 ft: 265 corp: 64/569b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 3 CopyPart-CopyPart-PersAutoDict- DE: "\000\000"-
#5140	REDUCE cov: 74 ft: 265 corp: 64/567b lim: 14 exec/s: 2 rss: 357Mb L: 9/14 MS: 2 ChangeByte-EraseBytes-
#5158	NEW    cov: 74 ft: 266 corp: 65/577b lim: 14 exec/s: 2 rss: 357Mb L: 10/14 MS: 3 PersAutoDict-ChangeBinInt-CMP- DE: "\377\377"-"\377\377"-
#5387	NEW    cov: 74 ft: 269 corp: 66/590b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 4 ChangeBit-InsertByte-CrossOver-CrossOver-
#5540	REDUCE cov: 74 ft: 269 corp: 66/589b lim: 14 exec/s: 2 rss: 364Mb L: 12/14 MS: 3 InsertByte-CMP-EraseBytes- DE: "\377\377\377\377"-
#5541	NEW    cov: 75 ft: 270 corp: 67/602b lim: 14 exec/s: 2 rss: 364Mb L: 13/14 MS: 1 InsertRepeatedBytes-
#5557	NEW    cov: 75 ft: 271 corp: 68/615b lim: 14 exec/s: 2 rss: 364Mb L: 13/14 MS: 1 CrossOver-
#5648	NEW    cov: 80 ft: 276 corp: 69/628b lim: 14 exec/s: 2 rss: 364Mb L: 13/14 MS: 1 InsertRepeatedBytes-
#5729	NEW    cov: 81 ft: 277 corp: 70/642b lim: 14 exec/s: 2 rss: 364Mb L: 14/14 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#5761	REDUCE cov: 81 ft: 277 corp: 70/641b lim: 14 exec/s: 2 rss: 364Mb L: 9/14 MS: 2 ShuffleBytes-EraseBytes-
#5810	NEW    cov: 81 ft: 278 corp: 71/655b lim: 14 exec/s: 2 rss: 364Mb L: 14/14 MS: 4 ChangeBit-CrossOver-CopyPart-CrossOver-
#5903	NEW    cov: 81 ft: 279 corp: 72/669b lim: 14 exec/s: 2 rss: 364Mb L: 14/14 MS: 3 CopyPart-ChangeBit-ChangeASCIIInt-
#5949	NEW    cov: 81 ft: 282 corp: 73/683b lim: 14 exec/s: 2 rss: 364Mb L: 14/14 MS: 1 InsertByte-
#6030	NEW    cov: 81 ft: 283 corp: 74/695b lim: 14 exec/s: 2 rss: 364Mb L: 12/14 MS: 1 PersAutoDict- DE: "\000\000"-
#6041	NEW    cov: 81 ft: 290 corp: 75/707b lim: 14 exec/s: 2 rss: 364Mb L: 12/14 MS: 1 CrossOver-
#6152	NEW    cov: 82 ft: 291 corp: 76/720b lim: 14 exec/s: 2 rss: 364Mb L: 13/14 MS: 1 InsertRepeatedBytes-
#6371	NEW    cov: 82 ft: 292 corp: 77/734b lim: 14 exec/s: 2 rss: 364Mb L: 14/14 MS: 4 ChangeByte-ChangeBit-EraseBytes-CopyPart-
#6730	NEW    cov: 82 ft: 293 corp: 78/747b lim: 17 exec/s: 2 rss: 364Mb L: 13/14 MS: 4 ShuffleBytes-InsertByte-CrossOver-InsertRepeatedBytes-
#6747	NEW    cov: 83 ft: 294 corp: 79/763b lim: 17 exec/s: 2 rss: 364Mb L: 16/16 MS: 2 InsertByte-CrossOver-
#6878	NEW    cov: 86 ft: 297 corp: 80/776b lim: 17 exec/s: 2 rss: 364Mb L: 13/16 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#6971	NEW    cov: 86 ft: 302 corp: 81/793b lim: 17 exec/s: 2 rss: 364Mb L: 17/17 MS: 3 CrossOver-ChangeBit-CopyPart-
#7100	NEW    cov: 87 ft: 303 corp: 82/810b lim: 17 exec/s: 2 rss: 364Mb L: 17/17 MS: 4 ChangeBit-ChangeByte-InsertRepeatedBytes-ChangeBinInt-
#7102	NEW    cov: 87 ft: 306 corp: 83/825b lim: 17 exec/s: 2 rss: 364Mb L: 15/17 MS: 2 ChangeBit-PersAutoDict- DE: "\377\377\377\377"-
