INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 509813895
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x138078000, 0x138078200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x10d800000,0x10d802000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	pulse  exec/s: 1 rss: 260Mb
#2	INITED exec/s: 1 rss: 260Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 287Mb
#2378	NEW    cov: 40 ft: 151 corp: 28/177b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 2 PersAutoDict-InsertByte- DE: "\377\377\377\377"-
#2434	NEW    cov: 40 ft: 152 corp: 29/187b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 1 EraseBytes-
#2438	NEW    cov: 43 ft: 155 corp: 30/198b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 4 ShuffleBytes-CrossOver-CopyPart-PersAutoDict- DE: "\377\377\377\377"-
#2598	NEW    cov: 43 ft: 156 corp: 31/209b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 5 InsertByte-CrossOver-ChangeByte-ChangeASCIIInt-InsertRepeatedBytes-
#2695	NEW    cov: 50 ft: 163 corp: 32/220b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CopyPart-InsertByte-
#2847	REDUCE cov: 50 ft: 163 corp: 32/219b lim: 11 exec/s: 2 rss: 357Mb L: 5/11 MS: 2 CopyPart-EraseBytes-
#2860	NEW    cov: 53 ft: 166 corp: 33/230b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 3 ChangeByte-ChangeBinInt-CopyPart-
#2915	NEW    cov: 53 ft: 169 corp: 34/240b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 5 ShuffleBytes-ShuffleBytes-ChangeBit-ShuffleBytes-ChangeBit-
#2918	REDUCE cov: 54 ft: 170 corp: 35/249b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 3 InsertByte-ChangeBit-InsertRepeatedBytes-
#3090	NEW    cov: 54 ft: 173 corp: 36/260b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 PersAutoDict-CMP- DE: "\377\377\377\377"-"\000\000"-
#3106	NEW    cov: 55 ft: 174 corp: 37/271b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 ChangeByte-
#3153	NEW    cov: 55 ft: 177 corp: 38/282b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CrossOver-CopyPart-
#3195	NEW    cov: 55 ft: 184 corp: 39/293b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 2 CopyPart-CopyPart-
#3346	NEW    cov: 55 ft: 185 corp: 40/304b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 ChangeByte-
#3364	NEW    cov: 55 ft: 192 corp: 41/315b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 3 CopyPart-ChangeByte-ShuffleBytes-
#3390	NEW    cov: 55 ft: 195 corp: 42/326b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 CopyPart-
#3531	NEW    cov: 60 ft: 200 corp: 43/337b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 CMP- DE: "\000\000"-
#3532	NEW    cov: 60 ft: 203 corp: 44/348b lim: 11 exec/s: 2 rss: 357Mb L: 11/11 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#3684	NEW    cov: 65 ft: 208 corp: 45/358b lim: 11 exec/s: 2 rss: 357Mb L: 10/11 MS: 2 CrossOver-CrossOver-
#3878	NEW    cov: 65 ft: 213 corp: 46/367b lim: 11 exec/s: 2 rss: 357Mb L: 9/11 MS: 4 InsertByte-ChangeBit-ChangeBit-ShuffleBytes-
#4096	pulse  cov: 65 ft: 213 corp: 46/367b lim: 11 exec/s: 2 rss: 357Mb
#4225	NEW    cov: 68 ft: 216 corp: 47/381b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 2 CopyPart-InsertRepeatedBytes-
#4249	NEW    cov: 69 ft: 217 corp: 48/394b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 4 InsertByte-EraseBytes-ChangeByte-CrossOver-
#4250	NEW    cov: 70 ft: 218 corp: 49/405b lim: 14 exec/s: 2 rss: 357Mb L: 11/14 MS: 1 ChangeBinInt-
#4266	NEW    cov: 70 ft: 221 corp: 50/417b lim: 14 exec/s: 2 rss: 357Mb L: 12/14 MS: 1 InsertByte-
#4288	NEW    cov: 70 ft: 226 corp: 51/430b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 2 InsertRepeatedBytes-ShuffleBytes-
#4310	NEW    cov: 73 ft: 229 corp: 52/444b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 2 CrossOver-ChangeBinInt-
#4341	NEW    cov: 73 ft: 232 corp: 53/457b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 1 InsertRepeatedBytes-
#4407	NEW    cov: 73 ft: 233 corp: 54/468b lim: 14 exec/s: 2 rss: 357Mb L: 11/14 MS: 1 CopyPart-
#4418	NEW    cov: 74 ft: 234 corp: 55/482b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 1 InsertRepeatedBytes-
#4446	NEW    cov: 74 ft: 235 corp: 56/496b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 3 ShuffleBytes-ChangeByte-CopyPart-
#4472	NEW    cov: 74 ft: 238 corp: 57/508b lim: 14 exec/s: 2 rss: 357Mb L: 12/14 MS: 1 InsertByte-
#4600	NEW    cov: 74 ft: 239 corp: 58/522b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 3 InsertRepeatedBytes-ChangeBit-CrossOver-
#4619	NEW    cov: 75 ft: 240 corp: 59/536b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 4 ShuffleBytes-ShuffleBytes-ChangeByte-CrossOver-
#4632	NEW    cov: 80 ft: 245 corp: 60/549b lim: 14 exec/s: 2 rss: 357Mb L: 13/14 MS: 3 InsertRepeatedBytes-ChangeBit-EraseBytes-
#4700	NEW    cov: 80 ft: 250 corp: 61/561b lim: 14 exec/s: 2 rss: 357Mb L: 12/14 MS: 3 InsertByte-ChangeByte-EraseBytes-
#4718	NEW    cov: 83 ft: 253 corp: 62/575b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 3 CrossOver-ChangeBinInt-ShuffleBytes-
#4724	NEW    cov: 83 ft: 260 corp: 63/587b lim: 14 exec/s: 2 rss: 357Mb L: 12/14 MS: 1 InsertByte-
#4759	NEW    cov: 83 ft: 271 corp: 64/597b lim: 14 exec/s: 2 rss: 357Mb L: 10/14 MS: 5 ShuffleBytes-InsertByte-InsertByte-PersAutoDict-CrossOver- DE: "\000\000"-
#4873	NEW    cov: 83 ft: 272 corp: 65/611b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 4 ChangeBinInt-CrossOver-InsertByte-CopyPart-
#4884	NEW    cov: 83 ft: 273 corp: 66/622b lim: 14 exec/s: 2 rss: 357Mb L: 11/14 MS: 1 ChangeBinInt-
#4915	NEW    cov: 83 ft: 274 corp: 67/636b lim: 14 exec/s: 2 rss: 357Mb L: 14/14 MS: 1 PersAutoDict- DE: "\377\377\377\377"-
#5227	NEW    cov: 84 ft: 275 corp: 68/650b lim: 17 exec/s: 2 rss: 357Mb L: 14/14 MS: 2 ChangeBinInt-ChangeBit-
#5244	NEW    cov: 84 ft: 278 corp: 69/664b lim: 17 exec/s: 2 rss: 357Mb L: 14/14 MS: 2 ChangeBit-CrossOver-
#5251	NEW    cov: 84 ft: 279 corp: 70/679b lim: 17 exec/s: 2 rss: 357Mb L: 15/15 MS: 2 ChangeBit-PersAutoDict- DE: "\377\377\377\377"-
#5490	NEW    cov: 84 ft: 280 corp: 71/692b lim: 17 exec/s: 2 rss: 357Mb L: 13/15 MS: 4 EraseBytes-ChangeBit-CrossOver-CopyPart-
#5501	NEW    cov: 84 ft: 281 corp: 72/706b lim: 17 exec/s: 2 rss: 357Mb L: 14/15 MS: 1 CopyPart-
#5557	NEW    cov: 84 ft: 284 corp: 73/720b lim: 17 exec/s: 2 rss: 357Mb L: 14/15 MS: 1 InsertRepeatedBytes-
#5629	NEW    cov: 84 ft: 289 corp: 74/734b lim: 17 exec/s: 2 rss: 357Mb L: 14/15 MS: 2 ShuffleBytes-InsertRepeatedBytes-
#5674	NEW    cov: 84 ft: 290 corp: 75/750b lim: 17 exec/s: 2 rss: 357Mb L: 16/16 MS: 5 ShuffleBytes-ChangeByte-CrossOver-CopyPart-InsertByte-
#5808	NEW    cov: 84 ft: 295 corp: 76/762b lim: 17 exec/s: 2 rss: 357Mb L: 12/16 MS: 4 EraseBytes-CopyPart-CopyPart-CrossOver-
#5855	NEW    cov: 84 ft: 296 corp: 77/776b lim: 17 exec/s: 2 rss: 357Mb L: 14/16 MS: 2 ChangeByte-ShuffleBytes-
#5861	NEW    cov: 85 ft: 297 corp: 78/793b lim: 17 exec/s: 2 rss: 357Mb L: 17/17 MS: 1 InsertRepeatedBytes-
#5898	NEW    cov: 85 ft: 298 corp: 79/809b lim: 17 exec/s: 2 rss: 357Mb L: 16/17 MS: 2 EraseBytes-InsertRepeatedBytes-
#5981	NEW    cov: 86 ft: 299 corp: 80/826b lim: 17 exec/s: 2 rss: 357Mb L: 17/17 MS: 3 ChangeByte-CrossOver-PersAutoDict- DE: "\000\000"-
#5982	NEW    cov: 86 ft: 302 corp: 81/841b lim: 17 exec/s: 2 rss: 357Mb L: 15/17 MS: 1 InsertRepeatedBytes-
#5985	NEW    cov: 86 ft: 303 corp: 82/855b lim: 17 exec/s: 2 rss: 357Mb L: 14/17 MS: 3 ChangeBit-EraseBytes-ShuffleBytes-
#6034	NEW    cov: 86 ft: 306 corp: 83/872b lim: 17 exec/s: 2 rss: 357Mb L: 17/17 MS: 4 ChangeByte-CopyPart-InsertByte-CopyPart-
#6057	NEW    cov: 86 ft: 311 corp: 84/888b lim: 17 exec/s: 2 rss: 357Mb L: 16/17 MS: 3 EraseBytes-ChangeBinInt-CrossOver-
#6152	NEW    cov: 86 ft: 312 corp: 85/903b lim: 17 exec/s: 2 rss: 357Mb L: 15/17 MS: 5 CopyPart-ShuffleBytes-ChangeBinInt-InsertByte-ChangeBinInt-
#6218	REDUCE cov: 86 ft: 312 corp: 85/901b lim: 17 exec/s: 2 rss: 357Mb L: 11/17 MS: 1 EraseBytes-
#6285	NEW    cov: 86 ft: 313 corp: 86/915b lim: 17 exec/s: 2 rss: 357Mb L: 14/17 MS: 2 EraseBytes-PersAutoDict- DE: "\377\377\377\377"-
#6319	NEW    cov: 86 ft: 314 corp: 87/927b lim: 17 exec/s: 2 rss: 357Mb L: 12/17 MS: 4 ShuffleBytes-EraseBytes-CMP-ChangeBinInt- DE: "\377\377\377\377"-
#6335	NEW    cov: 86 ft: 319 corp: 88/939b lim: 17 exec/s: 2 rss: 357Mb L: 12/17 MS: 1 CrossOver-
#6386	NEW    cov: 89 ft: 322 corp: 89/956b lim: 17 exec/s: 2 rss: 357Mb L: 17/17 MS: 1 CopyPart-
#6538	NEW    cov: 89 ft: 326 corp: 90/973b lim: 17 exec/s: 2 rss: 357Mb L: 17/17 MS: 2 CrossOver-CrossOver-
