INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 1478420470
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x170068000, 0x170068200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x107d24000,0x107d26000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 313Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 323Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 4 rss: 336Mb
#16	pulse  ft: 11 corp: 1/1b lim: 4 exec/s: 4 rss: 336Mb
#16	NEW    cov: 11 ft: 11 corp: 2/2b lim: 4 exec/s: 4 rss: 336Mb L: 1/1 MS: 4 ChangeBit-ShuffleBytes-ChangeBit-ChangeByte-
#22	NEW    cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 4 rss: 336Mb L: 2/2 MS: 1 InsertByte-
#32	pulse  cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 4 rss: 336Mb
#64	pulse  cov: 11 ft: 22 corp: 3/4b lim: 4 exec/s: 4 rss: 336Mb
#66	NEW    cov: 11 ft: 33 corp: 4/7b lim: 4 exec/s: 4 rss: 336Mb L: 3/3 MS: 4 InsertByte-ChangeBit-InsertByte-CrossOver-
#92	NEW    cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 4 rss: 336Mb L: 4/4 MS: 1 CopyPart-
#128	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 4 rss: 336Mb
#256	pulse  cov: 11 ft: 44 corp: 5/11b lim: 4 exec/s: 3 rss: 336Mb
#301	NEW    cov: 14 ft: 47 corp: 6/17b lim: 6 exec/s: 3 rss: 336Mb L: 6/6 MS: 4 ChangeByte-InsertByte-InsertRepeatedBytes-CrossOver-
#302	NEW    cov: 14 ft: 50 corp: 7/22b lim: 6 exec/s: 3 rss: 336Mb L: 5/6 MS: 1 InsertRepeatedBytes-
#303	NEW    cov: 19 ft: 55 corp: 8/28b lim: 6 exec/s: 3 rss: 336Mb L: 6/6 MS: 1 InsertByte-
#312	NEW    cov: 19 ft: 60 corp: 9/34b lim: 6 exec/s: 3 rss: 336Mb L: 6/6 MS: 4 CopyPart-ChangeByte-ChangeBit-ShuffleBytes-
#384	NEW    cov: 28 ft: 69 corp: 10/40b lim: 6 exec/s: 3 rss: 336Mb L: 6/6 MS: 2 ChangeByte-ChangeBit-
#471	NEW    cov: 29 ft: 70 corp: 11/45b lim: 6 exec/s: 3 rss: 336Mb L: 5/6 MS: 2 InsertRepeatedBytes-EraseBytes-
#512	pulse  cov: 29 ft: 70 corp: 11/45b lim: 6 exec/s: 2 rss: 336Mb
#523	NEW    cov: 29 ft: 79 corp: 12/51b lim: 6 exec/s: 2 rss: 336Mb L: 6/6 MS: 2 ShuffleBytes-ChangeBit-
#634	NEW    cov: 29 ft: 80 corp: 13/57b lim: 6 exec/s: 2 rss: 336Mb L: 6/6 MS: 1 CopyPart-
#698	NEW    cov: 36 ft: 87 corp: 14/63b lim: 6 exec/s: 2 rss: 336Mb L: 6/6 MS: 4 ShuffleBytes-CopyPart-CopyPart-ChangeByte-
#911	NEW    cov: 36 ft: 96 corp: 15/70b lim: 8 exec/s: 2 rss: 336Mb L: 7/7 MS: 3 CrossOver-CrossOver-ChangeBinInt-
#942	NEW    cov: 36 ft: 107 corp: 16/78b lim: 8 exec/s: 2 rss: 336Mb L: 8/8 MS: 1 CopyPart-
#1023	NEW    cov: 36 ft: 110 corp: 17/85b lim: 8 exec/s: 2 rss: 336Mb L: 7/8 MS: 1 InsertByte-
#1024	pulse  cov: 36 ft: 110 corp: 17/85b lim: 8 exec/s: 2 rss: 336Mb
#1035	NEW    cov: 36 ft: 119 corp: 18/93b lim: 8 exec/s: 2 rss: 336Mb L: 8/8 MS: 2 ShuffleBytes-CrossOver-
#1036	NEW    cov: 36 ft: 124 corp: 19/100b lim: 8 exec/s: 2 rss: 336Mb L: 7/8 MS: 1 InsertByte-
#1114	REDUCE cov: 36 ft: 124 corp: 19/99b lim: 8 exec/s: 2 rss: 336Mb L: 5/8 MS: 3 ShuffleBytes-CrossOver-EraseBytes-
#1140	NEW    cov: 36 ft: 131 corp: 20/107b lim: 8 exec/s: 2 rss: 336Mb L: 8/8 MS: 1 InsertByte-
#1176	NEW    cov: 36 ft: 138 corp: 21/113b lim: 8 exec/s: 2 rss: 336Mb L: 6/8 MS: 1 InsertByte-
#1347	NEW    cov: 36 ft: 145 corp: 22/120b lim: 8 exec/s: 2 rss: 336Mb L: 7/8 MS: 1 EraseBytes-
#1413	NEW    cov: 36 ft: 146 corp: 23/128b lim: 8 exec/s: 2 rss: 336Mb L: 8/8 MS: 1 InsertByte-
#1450	NEW    cov: 36 ft: 149 corp: 24/136b lim: 8 exec/s: 2 rss: 336Mb L: 8/8 MS: 2 ShuffleBytes-InsertByte-
#1508	NEW    cov: 36 ft: 150 corp: 25/143b lim: 8 exec/s: 2 rss: 336Mb L: 7/8 MS: 3 ShuffleBytes-CMP-EraseBytes- DE: "\000\000"-
#1994	NEW    cov: 41 ft: 155 corp: 26/153b lim: 11 exec/s: 2 rss: 336Mb L: 10/10 MS: 1 CopyPart-
#1995	NEW    cov: 42 ft: 156 corp: 27/164b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 CrossOver-
#1996	NEW    cov: 43 ft: 157 corp: 28/174b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 InsertRepeatedBytes-
#2032	NEW    cov: 43 ft: 158 corp: 29/184b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 CrossOver-
#2038	NEW    cov: 43 ft: 163 corp: 30/194b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 ShuffleBytes-
#2048	pulse  cov: 43 ft: 163 corp: 30/194b lim: 11 exec/s: 2 rss: 336Mb
#2087	NEW    cov: 46 ft: 166 corp: 31/204b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 4 EraseBytes-InsertByte-ChangeBit-InsertRepeatedBytes-
#2102	NEW    cov: 47 ft: 167 corp: 32/214b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 5 PersAutoDict-InsertByte-ShuffleBytes-CrossOver-CopyPart- DE: "\000\000"-
#2126	NEW    cov: 47 ft: 170 corp: 33/225b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 4 ChangeByte-ShuffleBytes-CrossOver-CrossOver-
#2188	NEW    cov: 50 ft: 173 corp: 34/235b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 2 InsertByte-CrossOver-
#2193	NEW    cov: 50 ft: 176 corp: 35/246b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 5 EraseBytes-CrossOver-EraseBytes-InsertRepeatedBytes-CrossOver-
#2194	NEW    cov: 55 ft: 181 corp: 36/256b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 ChangeByte-
#2217	NEW    cov: 55 ft: 186 corp: 37/266b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 3 ChangeBit-CrossOver-ChangeASCIIInt-
#2248	NEW    cov: 55 ft: 187 corp: 38/276b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 ChangeByte-
#2269	NEW    cov: 55 ft: 188 corp: 39/286b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 ChangeASCIIInt-
#2285	NEW    cov: 55 ft: 193 corp: 40/297b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 CrossOver-
#2416	NEW    cov: 56 ft: 194 corp: 41/308b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 InsertRepeatedBytes-
#2462	NEW    cov: 56 ft: 199 corp: 42/319b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 ChangeASCIIInt-
#2473	NEW    cov: 56 ft: 200 corp: 43/330b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 CopyPart-
#2501	NEW    cov: 59 ft: 203 corp: 44/340b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 3 InsertByte-EraseBytes-InsertRepeatedBytes-
#2505	NEW    cov: 59 ft: 206 corp: 45/351b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 4 ChangeByte-CopyPart-ChangeBinInt-ShuffleBytes-
#2506	NEW    cov: 59 ft: 209 corp: 46/362b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 ChangeBit-
#2517	NEW    cov: 66 ft: 216 corp: 47/372b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 1 ChangeByte-
#2563	NEW    cov: 66 ft: 221 corp: 48/383b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 ShuffleBytes-
#2578	NEW    cov: 66 ft: 222 corp: 49/392b lim: 11 exec/s: 2 rss: 336Mb L: 9/11 MS: 5 ChangeByte-InsertRepeatedBytes-ChangeBit-CrossOver-ChangeBinInt-
#2680	NEW    cov: 66 ft: 229 corp: 50/401b lim: 11 exec/s: 2 rss: 336Mb L: 9/11 MS: 2 EraseBytes-ChangeBit-
#2766	NEW    cov: 66 ft: 230 corp: 51/412b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 InsertByte-
#2776	NEW    cov: 66 ft: 231 corp: 52/423b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 5 ChangeByte-ChangeBinInt-ChangeASCIIInt-ChangeASCIIInt-ChangeByte-
#2784	NEW    cov: 66 ft: 234 corp: 53/433b lim: 11 exec/s: 2 rss: 336Mb L: 10/11 MS: 3 CrossOver-EraseBytes-CrossOver-
#2825	NEW    cov: 66 ft: 235 corp: 54/444b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 1 ChangeByte-
#2887	NEW    cov: 66 ft: 242 corp: 55/455b lim: 11 exec/s: 2 rss: 336Mb L: 11/11 MS: 2 ChangeBit-CopyPart-
